Price,PriceTarget,MACD,TradePrice,trade_volume,b1,a1,bq1,aq1,Spread
282.945,283.005,0.0059727994,283.32,33.76583864,282.91,282.98,9.09719663,0.05,0.07
283.165,283.005,0.0218427318,283.32,33.76583864,283.1,283.23,7.8255498,0.05,0.13
283.11,283.005,0.0281016515,283.32,33.76583864,283.04,283.18,0.33,29.999999,0.14
283.11,283.005,0.0313005537,283.26,0.05,283.04,283.18,0.33,29.999999,0.14
283.11,283.005,0.0322040078,283.31,3.46915383,283.04,283.18,0.33,29.999999,0.14
283.005,283.005,0.0238848872,283.31,3.46915383,283,283.01,57.53,11.22218,0.01
283.005,283.005,0.0168393649,283.17,0.996,283,283.01,57.53,11.22218,0.01
283.005,283.005,0.0108975168,283.18,0.11,283,283.01,57.53,11.22218,0.01
283.005,283.005,0.0059110791,283.15,0.05,283,283.01,57.53,11.22218,0.01
283.005,283.005,0.0017507035,283.04,0.01782,283,283.01,57.53,11.22218,0.01
283.005,283.005,-0.0016964349,283.04,0.01782,283,283.01,57.54,11.22218,0.01
283.005,283.005,-0.0045287222,283.04,0.01782,283,283.01,57.72,11.22218,0.01
283.005,283.005,-0.0068319248,283,1.5,283,283.01,57.72,11.22218,0.01
283.005,283.005,-0.0086807765,283,7.098,283,283.01,57.72,11.22218,0.01
283.005,283.005,-0.0101403654,283.01,5.1780789,283,283.01,57.72,11.22218,0.01
283.005,283.005,-0.0112673443,283.01,5.1780789,283,283.01,57.22319663,6.0441011,0.01
283.005,283.005,-0.0121109897,283,4.902,283,283.01,57.22319663,6.0441011,0.01
283.005,283.005,-0.0127141272,283,3,283,283.01,57.22319663,6.0441011,0.01
283.005,283.005,-0.0131139414,283,1.13,283,283.01,57.22319663,6.0441011,0.01
283.005,283.005,-0.0133426842,283,13.864578,283,283.01,57.22319663,6.0441011,0.01
283.005,283.005,-0.0134282956,283,0.280207,283,283.01,57.22319663,6.0441011,0.01
283.005,283.005,-0.0133949463,283,0.280207,283,283.01,34.04641163,6.0441011,0.01
283.005,283.005,-0.0132635137,283,0.1778,283,283.01,34.04641163,6.0441011,0.01
283.005,283.005,-0.0130519986,283,0.1778,283,283.01,33.86861163,2.0853702,0.01
283.005,283.005,-0.0127758901,283,0.2919,283,283.01,33.86861163,2.0853702,0.01
283.005,283.005,-0.0124484859,283,0.076149,283,283.01,33.86861163,2.0853702,0.01
283.005,283.005,-0.0120811725,283,0.076149,283,283.01,68.628899,17.261,0.01
283.005,283.005,-0.0116836707,283.01,2,283,283.01,68.628899,17.261,0.01
283.005,283.005,-0.0112642514,283.01,0.261,283,283.01,68.628899,17.261,0.01
283.005,283.005,-0.0108299238,283.01,13.677,283,283.01,68.628899,17.261,0.01
283.005,283.005,-0.0103866011,283,5,283,283.01,68.628899,17.261,0.01
283.005,283.005,-0.009939245,283,12.35787534,283,283.01,68.628899,17.261,0.01
283.005,283.165,-0.0094919926,283,12.35787534,283,283.01,51.37102366,1.323,0.01
283.005,283.005,-0.0090482677,283.01,1.323,283,283.01,51.37102366,1.323,0.01
283.005,283.005,-0.0086108773,283.25,0.305878,283,283.01,51.37102366,1.323,0.01
283.005,283.005,-0.0081820973,283.28,1.89193306,283,283.01,51.37102366,1.323,0.01
283.005,283.005,-0.0077637462,283.27,7.039e-05,283,283.01,51.37102366,1.323,0.01
283.165,283.005,0.0041299291,283.27,7.039e-05,283.06,283.27,0.05,112.54801061,0.21
283.005,283.005,0.0007566004,283.27,7.039e-05,283,283.01,0.42,7.73820567,0.01
283.005,283.115,-0.0017879671,283.27,7.039e-05,283,283.01,0.59,7.73820567,0.01
283.005,283.11,-0.00366492,283.01,1.69210457,283,283.01,0.59,7.73820567,0.01
283.005,283.12,-0.0050070511,283.11,0.05,283,283.01,0.59,7.73820567,0.01
283.005,283.12,-0.0059235324,283.2,6.86059071,283,283.01,0.59,7.73820567,0.01
283.005,283.12,-0.0065038816,283.27,61.10909628,283,283.01,0.59,7.73820567,0.01
283.115,283.12,0.0010761512,283.27,61.10909628,283.04,283.19,0.17,112.173787,0.15
283.11,283.105,0.0059107931,283.27,61.10909628,283.03,283.19,10.44,112.173787,0.16
283.12,283.105,0.0097255017,283.27,61.10909628,283.05,283.19,10.44,112.173787,0.14
283.12,283.105,0.0119702717,283.19,3.52e-05,283.05,283.19,10.44,112.173787,0.14
283.12,283.105,0.0130227645,283.19,3.52e-05,283.05,283.19,0.12,112.1737518,0.14
283.12,283.105,0.0131861244,283.03,0.01,283.05,283.19,0.12,112.1737518,0.14
283.105,283.105,0.011625369,283.03,0.01,283.03,283.18,10.49,15.9732348,0.15
283.105,283.03,0.0099623679,283.06,0.4,283.03,283.18,10.49,15.9732348,0.15
283.105,283.025,0.0082689818,283.18,4.20734406,283.03,283.18,10.49,15.9732348,0.15
283.105,283.025,0.0065987811,283.18,4.20734406,283.02,283.19,0.06635672,112.1737518,0.17
283.105,283.1,0.0049907031,283.04,0.22563401,283.02,283.19,0.06635672,112.1737518,0.17
283.105,283.1,0.0034720541,283.03,10.21561679,283.02,283.19,0.06635672,112.1737518,0.17
283.03,283.035,-0.0033236497,283.03,10.21561679,283.02,283.04,0.06635672,29.999999,0.02
283.025,283.035,-0.0085940822,283.03,10.21561679,283.02,283.03,0.06635672,181.08,0.01
283.025,283.035,-0.0122520613,283.17,4.99789609,283.02,283.03,0.06635672,181.08,0.01
283.1,283.035,-0.0092577544,283.17,4.99789609,283.04,283.16,0.31,100.450257,0.12
283.1,283.035,-0.007042343,283.03,0.07,283.04,283.16,0.31,100.450257,0.12
283.035,283.035,-0.0101054851,283.03,0.07,283.03,283.04,10.44,7.03191593,0.01
283.035,283.035,-0.0121147602,283.04,0.21381587,283.03,283.04,10.44,7.03191593,0.01
283.035,283.035,-0.0133030042,283.04,0.21381587,283.03,283.04,10.7,14.39276359,0.01
283.035,283.035,-0.0138592404,283.03,1.6,283.03,283.04,10.7,14.39276359,0.01
283.035,283.035,-0.0139362873,283.03,1.6,283.03,283.04,9.1,12.84354238,0.01
283.035,283.035,-0.013657104,283.04,0.34066353,283.03,283.04,9.1,12.84354238,0.01
283.035,283.035,-0.0131200775,283.04,7.31693647,283.03,283.04,9.1,12.84354238,0.01
283.035,283.035,-0.0124034227,283.03,1.156646,283.03,283.04,9.1,12.84354238,0.01
283.035,283.035,-0.0115688395,283.03,1.156646,283.03,283.04,8.21155063,15.55774575,0.01
283.035,283.035,-0.0106645486,283.03,1.156646,283.03,283.04,7.943354,30.98549773,0.01
283.035,283.035,-0.0097278061,283.03,1.156646,283.03,283.04,10.843354,30.98549773,0.01
283.035,283.035,-0.0087869858,283.03,0.298502,283.03,283.04,10.843354,30.98549773,0.01
283.035,283.035,-0.0078632969,283.03,0.298502,283.03,283.04,10.544852,17.65250447,0.01
283.035,283.035,-0.0069722006,283.03,1,283.03,283.04,10.544852,17.65250447,0.01
283.035,283.035,-0.0061245746,283.03,1,283.03,283.04,9.544852,26.31058173,0.01
283.035,283.035,-0.0053276679,283.03,1,283.03,283.04,11.58,17.65250447,0.01
283.035,283.035,-0.0045858818,283.03,0.26,283.03,283.04,11.58,17.65250447,0.01
283.035,283.035,-0.0039014062,283.03,1.44,283.03,283.04,11.58,17.65250447,0.01
283.035,283.035,-0.0032747366,283.03,1.44,283.03,283.04,9.88,65.81954148,0.01
283.035,283.035,-0.0027050921,283.03,0.174635,283.03,283.04,9.88,65.81954148,0.01
283.035,283.035,-0.0021907515,283.03,1,283.03,283.04,9.88,65.81954148,0.01
283.035,283.035,-0.0017293228,283.03,1,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,-0.0013179565,283.03,0.285365,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,-0.0009535151,283.02,0.06635672,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,-0.0006327038,283.02,0.01,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,-0.0003521732,283.02,0.05,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,-0.0001085956,283.02,0.01,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,0.0001012768,283.01,0.21000928,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,0.0002805706,283.02,8.22662284,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.015,0.0004322617,283.04,5,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.015,0.0005591564,283.04,6.0461011,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,0.0006638804,283.04,6.60640337,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,0.0007488728,283.04,0.2506,283.03,283.04,0.285365,95.81954048,0.01
283.035,283.035,0.0008163866,283.04,10.62763424,283.03,283.04,0.285365,95.81954048,0.01
283.015,283.035,-0.0005674064,283.04,10.62763424,283,283.03,44.17007,182.56,0.03
283.015,283.035,-0.0014938574,283.03,1.705082,283,283.03,44.17007,182.56,0.03
283.035,283.035,-0.0006306619,283.03,1.705082,283.03,283.04,6.844918,44.58880177,0.01
283.035,283.035,3.1741518070733075e-05,283.03,2.26637423,283.03,283.04,6.844918,44.58880177,0.01
283.035,283.04,0.0005313881,283.03,2.26637423,283.03,283.04,4.63854377,14.58880277,0.01
283.035,283.04,0.0008997215,283.04,0.0035225,283.03,283.04,4.63854377,14.58880277,0.01
283.035,283.04,0.0011626839,283.04,0.0035225,283.03,283.04,4.61854377,28.11222835,0.01
283.035,283.04,0.0013416305,283.04,0.0035225,283.03,283.04,4.67854377,14.58528027,0.01
283.035,283.115,0.0014540961,283.03,0.04338593,283.03,283.04,4.67854377,14.58528027,0.01
283.04,283.115,0.0018734128,283.03,0.04338593,283.03,283.05,4.53515784,0.05,0.02
283.04,283.115,0.0021346097,283.05,0.05,283.03,283.05,4.53515784,0.05,0.02
283.04,283.115,0.0022735447,283.14,0.05,283.03,283.05,4.53515784,0.05,0.02
283.04,283.115,0.0023192452,283.17,22.0711,283.03,283.05,4.53515784,0.05,0.02
283.115,283.115,0.0076797176,283.17,22.0711,283.06,283.17,6.55,22.93100391,0.11
283.115,283.115,0.011223372,283.17,22.93100391,283.06,283.17,6.55,22.93100391,0.11
283.115,283.115,0.0133600726,283.18,15,283.06,283.17,6.55,22.93100391,0.11
283.115,283.205,0.0144212857,283.21,0.05,283.06,283.17,6.55,22.93100391,0.11
283.115,283.215,0.0146738456,283.27,1.9995149,283.06,283.17,6.55,22.93100391,0.11
283.115,283.065,0.0143314202,283.3,0.05,283.06,283.17,6.55,22.93100391,0.11
283.115,283.065,0.0135640481,283.31,7.255,283.06,283.17,6.55,22.93100391,0.11
283.115,283.065,0.0125060624,283.35,38.12695262,283.06,283.17,6.55,22.93100391,0.11
283.205,283.065,0.0177242026,283.35,38.12695262,283.07,283.34,0.04,100.449971,0.27
283.215,283.065,0.0214375231,283.35,38.12695262,283.08,283.35,7.4,15.20838737,0.27
283.065,283.12,0.0124596553,283.35,38.12695262,283.06,283.07,26.87108315,3.39900863,0.01
283.065,283.12,0.0055743778,283.07,2.11327722,283.06,283.07,26.87108315,3.39900863,0.01
283.065,283.12,0.0003779932,283.06,0.9845,283.06,283.07,26.87108315,3.39900863,0.01
283.065,283.16,-0.0034621255,283.06,0.9845,283.06,283.07,6.8155,1.28573141,0.01
283.065,283.225,-0.0062194237,283.07,3.522e-05,283.06,283.07,6.8155,1.28573141,0.01
283.12,283.245,-0.0041694069,283.07,3.522e-05,283.07,283.17,0.26,13.52694808,0.1
283.12,283.23,-0.0027389968,283.17,7.04176977,283.07,283.17,0.26,13.52694808,0.1
283.12,283.245,-0.0017880102,283.18,4.892508,283.07,283.17,0.26,13.52694808,0.1
283.16,283.245,0.0016684089,283.18,4.892508,283.07,283.25,0.05,50,0.18
283.225,283.245,0.0085741594,283.18,4.892508,283.2,283.25,1,50,0.05
283.245,283.245,0.014451236,283.18,4.892508,283.24,283.25,23.53108315,50,0.01
283.23,283.245,0.0168861457,283.18,4.892508,283.21,283.25,4.46,50,0.04
283.245,283.245,0.0189507941,283.18,4.892508,283.24,283.25,34.19676066,50,0.01
283.245,283.245,0.0195899607,283.18,4.892508,283.24,283.25,34.19676066,79.999999,0.01
283.245,283.245,0.0191812603,283.25,1.75994523,283.24,283.25,34.19676066,79.999999,0.01
283.245,283.245,0.0180248613,283.25,1.75994523,283.24,283.25,34.19676066,79.52574996,0.01
283.245,283.245,0.0163575973,283.25,1.75994523,283.24,283.25,34.19676066,78.41005377,0.01
283.245,283.245,0.0143646671,283.25,1.75994523,283.24,283.25,34.23676066,79.69574996,0.01
283.245,283.245,0.0121893227,283.25,10.00352869,283.24,283.25,34.23676066,79.69574996,0.01
283.245,283.245,0.0099408746,283.25,10.00352869,283.24,283.25,34.19676066,72.69222127,0.01
283.245,283.245,0.0077012957,283.25,38.23652608,283.24,283.25,34.19676066,72.69222127,0.01
