Price,PriceTarget,MACD,TradePrice,trade_volume,b1,a1,bq1,aq1,Spread
4151.205,4151.205,0.317884974,4151.21,2.40E-06,4151.2,4151.21,0.01,26.23042584,0.01
4151.205,4151.205,0.306838135,4151.21,2.40E-06,4151.2,4151.21,0.01,26.22042344,0.01
4151.205,4151.205,0.295476793,4151.21,2.40E-06,4151.2,4151.21,0.01,25.22042344,0.01
4151.205,4151.205,0.283919488,4151.21,2.40E-06,4151.2,4151.21,0.01,26.22042344,0.01
4151.205,4151.205,0.272269229,4151.21,2.40E-06,4151.2,4151.21,0.01,25.22042344,0.01
4151.205,4151.205,0.260614893,4151.21,2.40E-06,4151.2,4151.21,0.01,26.22042344,0.01
4151.205,4151.205,0.249032562,4151.21,2.40E-06,4151.2,4151.21,0.01,25.22042344,0.01
4151.205,4151.205,0.237586785,4151.21,2.40E-06,4151.2,4151.21,0.01,25.22042344,0.01
4151.205,4151.205,0.226331762,4151.21,2.40E-06,4151.2,4151.21,0.01,25.22042104,0.01
4151.205,4151.205,0.215312453,4151.21,2.40E-06,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4151.205,0.204565595,4151.21,2.40E-06,4151.2,4151.21,0.01,25.22042104,0.01
4151.205,4151.205,0.194120646,4151.21,2.40E-06,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4151.205,0.184000648,4151.2,0.01,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4150.915,0.174223012,4151.1,0.01,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4150.915,0.164800233,4151.1,0.03459926,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4150.915,0.155740538,4151,0.2,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4150.915,0.147048465,4151,0.240905,4151.2,4151.21,0.01,26.22042104,0.01
4151.205,4150.915,0.13872539,4150.91,1.90905924,4151.2,4151.21,0.01,26.22042104,0.01
4150.915,4150.915,0.109949482,4150.91,1.90905924,4150.91,4150.92,0.39094076,9.05567749,0.01
4150.915,4150.915,0.088365123,4150.92,0.5972,4150.91,4150.92,0.39094076,9.05567749,0.01
4150.915,4150.915,0.07243976,4150.92,0.5972,4150.91,4150.92,0.39094076,14.49995495,0.01
4150.915,4150.915,0.060930321,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.49995495,0.01
4150.915,4150.915,0.052832492,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.52151605,0.01
4150.915,4150.915,0.047338469,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.915,0.043801824,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.915,0.041708316,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.915,0.040651674,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.915,0.040313545,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.915,0.040446908,4150.92,2.40E-06,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.915,0.040862385,4150.91,0.39094076,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.605,0.041416964,4150.82,0.0102,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.605,0.042004733,4150.69,0.01,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.605,0.042549281,4150.69,0.01,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.605,0.042997488,4150.66,0.0102,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.915,4150.605,0.043314461,4150.6,0.05192814,4150.91,4150.92,0.39094076,14.61668888,0.01
4150.605,4150.605,0.02122301,4150.6,0.05192814,4150.6,4150.61,0.03807186,8.24773429,0.01
4150.605,4150.605,0.006267886,4150.6,0.05192814,4150.6,4150.61,0.03807186,14.8608685,0.01
4150.605,4150.605,-0.003185156,4150.6,0.05192814,4150.6,4150.61,0.03807186,14.882432,0.01
4150.605,4150.605,-0.00845326,4150.6,0.05192814,4150.6,4150.61,0.03807186,14.96444829,0.01
4150.605,4150.605,-0.010592712,4150.61,0.01896342,4150.6,4150.61,0.03807186,14.96444829,0.01
4150.605,4150.605,-0.010445726,4150.61,0.00024032,4150.6,4150.61,0.03807186,14.96444829,0.01
4150.605,4150.605,-0.008679294,4150.61,0.00024032,4150.6,4150.61,0.03807186,14.94524455,0.01
4150.605,4150.135,-0.005817418,4150.61,0.00024032,4150.6,4150.61,0.03807186,14.96676695,0.01
4150.605,4150.135,-0.002267804,4150.6,0.03807186,4150.6,4150.61,0.03807186,14.96676695,0.01
